@relation mahout_train_noise_0.arff

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Number_of_Revisions numeric
@attribute Fix_Count numeric
@attribute Authors numeric
@attribute LOC_added numeric
@attribute Max_LOC_added numeric
@attribute Average_LOC_added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Average_Churn numeric
@attribute Change_Set_Size numeric
@attribute Max_Change_Set_Size numeric
@attribute Average_Change_Set_Size numeric
@attribute Release_Length numeric
@attribute Weighted_Release_Length numeric
@attribute Actual {TRUE,FALSE}

@data
338,366,4,2,2,352,337,88.0,340,337,85.0,542,268,135.5,34.57,33.28,TRUE
374,196,6,4,3,169,130,28.17,160,130,26.67,215,84,35.83,119.57,6.46,TRUE
142,21,3,1,2,7,4,2.33,9,8,3.0,183,132,61.0,56.43,28.6,TRUE
328,17,4,1,1,7,3,1.75,3,3,0.75,345,184,86.25,45.43,17.04,TRUE
211,27,5,1,1,13,6,2.6,5,3,1.0,476,184,95.2,45.43,11.53,TRUE
201,233,8,1,2,217,71,27.12,201,66,25.12,184,107,23.0,10.0,8.93,TRUE
194,216,4,2,2,205,196,51.25,198,196,49.5,663,268,165.75,34.57,33.04,TRUE
161,249,7,2,2,205,95,29.29,165,95,23.57,343,128,49.0,10.0,8.46,TRUE
34,38,2,0,2,36,19,18.0,34,17,17.0,120,107,60.0,10.0,6.61,TRUE
252,426,12,2,2,339,153,28.25,258,153,21.5,480,222,40.0,10.0,9.34,TRUE
164,238,5,0,2,201,139,40.2,168,139,33.6,99,83,19.8,10.0,9.28,TRUE
56,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,53.43,0.0,TRUE
726,310,5,2,1,150,101,30.0,16,7,3.2,366,169,73.2,53.43,23.89,TRUE
134,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,56.43,0.0,TRUE
244,274,6,4,3,259,238,43.17,246,238,41.0,656,268,109.33,34.57,33.28,TRUE
685,973,6,2,2,829,648,138.17,705,648,117.5,391,167,65.17,16.57,12.63,TRUE
317,641,13,10,3,479,307,36.85,457,307,35.15,790,268,60.77,34.57,25.4,TRUE
102,138,2,2,2,120,103,60.0,104,103,52.0,127,110,63.5,12.43,11.38,TRUE
